127.0.0.1 - - [02/Nov/2019:20:48:13 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:48:16 +0700] "GET /emusicstore/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:48:18 +0700] "GET /emusicstore/showMyLoginPage HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:48:18 +0700] "GET /emusicstore/resources/js/jquery-3.4.1.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:48:18 +0700] "GET /emusicstore/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:48:18 +0700] "GET /emusicstore/resources/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:48:18 +0700] "GET /emusicstore/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:48:28 +0700] "GET /emusicstore/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:48:28 +0700] "GET /emusicstore/showMyLoginPage HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:48:28 +0700] "GET /emusicstore/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:48:29 +0700] "GET /emusicstore/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:48:29 +0700] "GET /emusicstore/resources/js/jquery-3.4.1.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:48:29 +0700] "GET /emusicstore/resources/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:50:51 +0700] "GET /emusicstore/showMyLoginPage HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:50:51 +0700] "GET /emusicstore/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51143
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:50:51 +0700] "GET /emusicstore/resources/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [02/Nov/2019:20:50:51 +0700] "GET /emusicstore/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121457
